dataset,url,rows,topic_concentration,distinctive_terms,note
erhanalsr/langusta-kpss-reasoning,https://huggingface.co/datasets/erhanalsr/langusta-kpss-reasoning,21,0.2742,aşağıdakilerden; seçenekler; medresesi; şarkısı; sanatçı; devlet; öykülerin; sıradaki; hangisi; antlaşması,
filiz-yalcin/identity-finetune,https://huggingface.co/datasets/filiz-yalcin/identity-finetune,1600,0.2465,misiniz; function; zeka; creation; model; sizi; describe; yetenekleriniz; yapay; other,
filiz-yalcin/turkish-figure-skating-qa,https://huggingface.co/datasets/filiz-yalcin/turkish-figure-skating-qa,526,0.4481,pateninde; artistik; yarışmalarında; atlayış; spin; spiral; patencinin; puanlama; pozisyonu; koreografik,
gmz1234/stackoverflow_ai,https://huggingface.co/datasets/gmz1234/stackoverflow_ai,1000,0.1196,neural; network; learning; action; function; reward; input; some; state; policy,
gorkemergune/ayarlicazhocam_finetune,https://huggingface.co/datasets/gorkemergune/ayarlicazhocam_finetune,429,0.2617,project; gorkem; onerir; görkem; projesi; icin; good; ogrenme; learning; tips,
gururaser/ithaki-bilimkurgu-klasikleri,https://huggingface.co/datasets/gururaser/ithaki-bilimkurgu-klasikleri,103,0.2634,bilimkurgu; thaki; klasikleri; yayınları; mars; bradbury; gezegeni; dune; öyküleri; hyperion,
haticenurcakr/turkish-classic-books-qa,https://huggingface.co/datasets/haticenurcakr/turkish-classic-books-qa,220,0.6276,eserinin; yayımlanmıştır; edebiyatında; yazarı; türk; kimdir; romanı; temel; konusu; önemlidir,
meldakahramann/animasyon-domain-dataset,https://huggingface.co/datasets/meldakahramann/animasyon-domain-dataset,1020,0.4295,filminin; animasyonu; seslendirenleri; filmi; kimler; zleyenler; stüdyo; ödülü; örgüsünden; şrek,
Mer1Alii/TR-ECommerce-CustomerSupport-Instructions,https://huggingface.co/datasets/Mer1Alii/TR-ECommerce-CustomerSupport-Instructions,186,0.1535,sipariş; kargo; fatura; iade; iptal; satıcı; kargom; merhaba; geldi; indirim,
namruni/meb-ogretmen-soru-cevap,https://huggingface.co/datasets/namruni/meb-ogretmen-soru-cevap,450,0.1232,öğretmen; tayin; tayini; arkadaşlar; norm; merhaba; mazeret; başvuru; okul; müdür,
nursimakgul/meb-soru-uretme,https://huggingface.co/datasets/nursimakgul/meb-soru-uretme,20874,0.7350,üret; çoktan; sınıf; seçmeli; orta; soru; seviyede; bilimleri; konusunda; türkçe,
nyzmemre/biyoloji-terimleri-turkce-sa,https://huggingface.co/datasets/nyzmemre/biyoloji-terimleri-turkce-sa,1093,0.3842,teriminin; ders; kitaplarında; tanım; açıklama; öğrenci; kavramını; bilimsel; tanımla; bakanlığı,
sadecebirisii/turkish-llm-authority-bypass-safety-sft,https://huggingface.co/datasets/sadecebirisii/turkish-llm-authority-bypass-safety-sft,29,0.1458,adim; icin; anthropic; saldirisi; safety; decode; onay; komutlarla; layer; admin,
SalihHub/trendyol-marangoz-urun-asistan-qa,https://huggingface.co/datasets/SalihHub/trendyol-marangoz-urun-asistan-qa,1211,0.2249,merhaba; acaba; ürün; ürünün; duvara; ölçüleri; gönderim; misiniz; keser; sığar,
samliumay/turkish_cyber_security_controls_dataset,https://huggingface.co/datasets/samliumay/turkish_cyber_security_controls_dataset,800,0.1971,güvenlik; bulut; erişim; kontrol; veri; yönetilir; tedarikçi; kimlik; uygulama; doğrulanır,
samliumay/umay_samli_identification_dataset,https://huggingface.co/datasets/samliumay/umay_samli_identification_dataset,219,0.4042,umay; yaratıcının; nato; güvenlik; sertifikası; deneyimi; şamlı; görevlerini; özetle; araştırma,
seali/turkce-saglik-qa,https://huggingface.co/datasets/seali/turkce-saglik-qa,773,0.4888,diyabetli; ergenlerde; bilmem; obezite; konusunda; hastalığı; bilgiler; yenidoğanlarda; neler; gerekir,
sedayzc/trendyol-electronics-products-features-and-comments,https://huggingface.co/datasets/sedayzc/trendyol-electronics-products-features-and-comments,500,0.2248,gayet; ürün; teşekkür; güzel; ederim; satıcı; geldi; bilgisayar; paketleme; sorunsuz,
sedayzc/turkish-electronics-product-comparison-recommendation,https://huggingface.co/datasets/sedayzc/turkish-electronics-product-comparison-recommendation,11858,0.3808,16gb; 512gb; core; intel; ryzen; freedos; lenovo; gaming; asus; 32gb,
senemde/saglik-qa-tr,https://huggingface.co/datasets/senemde/saglik-qa-tr,553,0.1833,diyabetin; hastalarında; diabetes; glukoz; gestasyonel; faktörlere; hba1c; nöropatide; vitamini; doymuş,
sk75/sahin_identity,https://huggingface.co/datasets/sk75/sahin_identity,77,0.2958,arkanda; model; seni; built; team; yourself; introduce; neler; human; developed,
srhskrkc/odysseia-destani-tr,https://huggingface.co/datasets/srhskrkc/odysseia-destani-tr,10,0.4815,odysseus; thaka; adasında; adamları; tulumu; etmiştir; adadan; aiaie; aiolos; boğazdan,
ssilistre/carnegie-dost-kazanma-tr,https://huggingface.co/datasets/ssilistre/carnegie-dost-kazanma-tr,1001,0.1495,carnegie; eleştiri; lincoln; sözü; neden; yapmalıyım; başarılı; roosevelt; evlilik; schwab,
ssilistre/semih-silistre-ai-identity,https://huggingface.co/datasets/ssilistre/semih-silistre-ai-identity,382,0.2366,sana; bana; seni; miyim; tanıt; kendini; seninle; yapay; chatgpt; bazen,
Talayhan/skatepal_dataset,https://huggingface.co/datasets/Talayhan/skatepal_dataset,299,0.1188,kaykay; skateboard; skate; board; kickflip; skating; skatepark; tahtam; ollie; tape,
Toivo0/Turkce-istatistik-reasoning,https://huggingface.co/datasets/Toivo0/Turkce-istatistik-reasoning,400,0.1629,dağılımı; istatistiksel; olasılık; değişken; örneklem; ortalama; hipotez; regresyon; tahmini; varyans,
Uunan/turkish-cuisine-qa,https://huggingface.co/datasets/Uunan/turkish-cuisine-qa,34244,0.3175,tarifinde; aittir; çorbası; yapım; öğün; yöreye; ilimize; nasıldır; kategoride; böreği,
yoitsmeyusuf/felsefe_finetune,https://huggingface.co/datasets/yoitsmeyusuf/felsefe_finetune,529,0.3211,kimdir; felsefesi; jean; karl; michel; john; nietzsche; mutluluk; ahlak; arendt,
YusufSimsek/llm-kisisellestirme,https://huggingface.co/datasets/YusufSimsek/llm-kisisellestirme,46,0.5350,yusuf; birisi; ilgileniyor; senden; projeleri; üniversite; hedefi; arandaki; zekâyla; teknoloji,
YusufSimsek/turkce-atasozleri-dataset,https://huggingface.co/datasets/YusufSimsek/turkce-atasozleri-dataset,1398,0.3565,atasözü; anlatmaktadır; anlamı; sanır; allah; gözü; olmaz; akıl; adam; yaba,
